H_max[T],f[Hz],F_R[%],F_M_High[%],F_B[%],U_HB[-],dPCB[kPa],Tspan[K],dT_reg[K],Qc[W],Qh[W],Wpump[W],Wvalv[W],Wmotor[W],COP[-],Q_wall-Loss[W]
1.2,1,20,30,70,0.7953,150.4240559,20,20.41209267,97.21602084,220.3548591,81.78102053,64.372,6.99395833,0.6348,248.7585447
1.2,1,20,30,80,0.1988,24.39846294,20,20.87731659,69.87485843,98.50141423,2.88524935,73.82344444,5.02696823,0.8549,480.8480761
1.2,1,20,30,80,0.3977,53.49874446,20,20.78507966,123.732116,177.8216419,12.65711497,73.82344444,8.90159108,1.2972,537.3348002
1.2,1,20,30,80,0.5965,87.30090521,20,20.63234307,141.0805749,223.5961076,30.98969785,73.82344444,10.14968165,1.2272,472.6251465
1.2,1,20,30,80,0.7953,125.8049878,20,20.40853674,98.6201278,216.1625103,59.55704027,73.82344444,7.09497322,0.702,342.4712686
1.2,1,20,30,90,0.1988,21.43965555,20,20.84414631,62.32106881,99.75773914,2.24250753,83.27488889,4.48353013,0.6924,714.693943
1.2,1,20,30,90,0.3977,46.59437996,20,20.74023214,111.0187862,173.311632,9.7475524,83.27488889,7.98696303,1.0991,820.3254943
1.2,1,20,30,90,0.5965,75.46421315,20,20.58948687,125.8085957,214.1665851,23.68137296,83.27488889,9.05097811,1.0845,785.4220822
1.2,1,20,30,90,0.7953,108.0491844,20,20.37369898,84.2411068,203.9339677,45.21017064,83.27488889,6.06051128,0.6261,688.9650031
1.2,1,25,25,60,0.1988,33.68866204,20,20.86703002,74.36009054,92.21912358,5.3339558,55.176,5.3496468,1.1291,291.5339194
1.2,1,25,25,60,0.3977,75.81455404,20,20.77833013,126.3334961,172.807608,24.00924036,55.176,9.08874073,1.4312,320.2619189
1.2,1,25,25,60,0.5965,126.3778425,20,20.60314707,132.5901467,215.2739494,60.03572787,55.176,9.53885947,1.0628,256.1922727
1.2,1,25,25,60,0.7953,185.37863,20,20.34641624,68.12244399,198.6072954,117.4231215,55.176,4.90089525,0.3838,129.1690886
1.2,1,25,25,70,0.1988,28.32010001,20,20.85270918,70.95585977,93.11730444,3.84870337,64.372,5.10473811,0.9677,368.177911
1.2,1,25,25,70,0.3977,62.83074925,20,20.7642038,122.7357278,171.3954567,17.07834678,64.372,8.82990847,1.3595,413.3338683
1.2,1,25,25,70,0.5965,103.5320462,20,20.60138055,133.5746708,213.7438569,42.21409644,64.372,9.60968854,1.1496,353.1878992
1.2,1,25,25,70,0.7953,150.4240559,20,20.36239793,79.50726957,199.8557008,81.78102053,64.372,5.71994745,0.5235,227.2848066
1.2,1,25,25,80,0.1988,24.39846294,20,20.82389611,65.22014862,92.79776886,2.88524935,73.82344444,4.69209702,0.8012,476.09537
1.2,1,25,25,80,0.3977,53.49874446,20,20.72855029,113.6789806,165.9614393,12.65711497,73.82344444,8.17834393,1.2009,531.6034842
1.2,1,25,25,80,0.5965,87.30090521,20,20.57144262,124.6584789,204.6313055,30.98969785,73.82344444,8.96823589,1.0956,466.3540101
1.2,1,25,25,80,0.7953,125.8049878,20,20.34386589,75.22377346,189.4802686,59.55704027,73.82344444,5.41178226,0.542,335.2124675
1.2,1,25,25,90,0.1988,21.43965555,20,20.78636349,57.31805795,93.59202467,2.24250753,83.27488889,4.12360129,0.6394,710.3290679
1.2,1,25,25,90,0.3977,46.59437996,20,20.67913207,100.1938903,160.5338604,9.7475524,83.27488889,7.20819355,0.9996,816.58876
1.2,1,25,25,90,0.5965,75.46421315,20,20.52361153,108.0851819,193.7488754,23.68137296,83.27488889,7.77591237,0.9421,783.2661461
1.2,1,25,25,90,0.7953,108.0491844,20,20.30361184,58.92697743,175.1699185,45.21017064,83.27488889,4.23935089,0.444,688.1600825
1.2,1,30,20,60,0.1988,33.68866204,20,20.82596278,70.85513383,87.84339481,5.3339558,55.176,5.09749164,1.08,283.3216866
1.2,1,30,20,60,0.3977,75.81455404,20,20.73454239,118.6746305,163.6596032,24.00924036,55.176,8.5377432,1.3528,308.229953
1.2,1,30,20,60,0.5965,126.3778425,20,20.55607254,120.0846924,200.6726617,60.03572787,55.176,8.6391865,0.9696,240.7743229
1.2,1,30,20,60,0.7953,185.37863,20,20.29678118,50.41913594,178.1962296,117.4231215,55.176,3.62727597,0.2861,110.022699
1.2,1,30,20,70,0.1988,28.32010001,20,20.79919486,66.33072725,87.45505214,3.84870337,64.372,4.77199477,0.9087,363.1357373
1.2,1,30,20,70,0.3977,62.83074925,20,20.70707093,112.6519517,159.5126528,17.07834678,64.372,8.10445695,1.2579,406.6149292
1.2,1,30,20,70,0.5965,103.5320462,20,20.53982089,117.0848366,194.7279861,42.21409644,64.372,8.42336954,1.018,344.9708534
1.2,1,30,20,70,0.7953,150.4240559,20,20.29718186,56.09172888,173.1126713,81.78102053,64.372,4.03537618,0.3735,217.1230134
1.2,1,30,20,80,0.1988,24.39846294,20,20.76531172,60.10906573,86.59118703,2.88524935,73.82344444,4.32439322,0.7418,473.5645434
1.2,1,30,20,80,0.3977,53.49874446,20,20.66590262,102.5299202,152.9168235,12.65711497,73.82344444,7.37625325,1.0924,529.444446
1.2,1,30,20,80,0.5965,87.30090521,20,20.50372286,106.4014078,183.6790254,30.98969785,73.82344444,7.65477754,0.9461,464.7899084
1.2,1,30,20,80,0.7953,125.8049878,20,20.27194765,49.21285027,159.9875324,59.55704027,73.82344444,3.54049282,0.3594,333.7755134
1.2,1,30,20,90,0.1988,21.43965555,20,20.72650151,52.14371586,87.22623779,2.24250753,83.27488889,3.75134646,0.5841,706.0334046
1.2,1,30,20,90,0.3977,46.59437996,20,20.61541105,88.91291267,147.2643945,9.7475524,83.27488889,6.39661242,0.8943,813.3337456
1.2,1,30,20,90,0.5965,75.46421315,20,20.45486366,89.60706424,172.5187282,23.68137296,83.27488889,6.44655138,0.7902,782.0203816
1.2,1,30,20,90,0.7953,108.0491844,20,20.23060379,32.5741934,145.3159899,45.21017064,83.27488889,2.34346715,0.249,688.7347661
