f[Hz],F_B[%],H_max[T],H_max_equiv[T],U_HB[-],dPCB[kPa],Tspan[K],Qc[W],Qh[W],Wpump[W],Wvalv[W],Wmotor[W],COP[-]
2,60,1.1,1,0.9942,716.6989858,20,-1001.419703,-221.6126403,1135.470072,55.176,-72.04458294,-0.8952
2,60,1.211,1.1,0.1988,75.84387338,20,118.8755575,148.412375,24.04079943,55.176,8.55219838,1.3544
2,60,1.211,1.1,0.3977,185.4339739,20,145.0179152,254.7230269,117.5365435,55.176,10.43294354,0.7918
2,60,1.211,1.1,0.5965,328.7725832,20,33.90072911,284.0775475,312.5570157,55.176,2.43890137,0.0916
2,60,1.211,1.1,0.7953,505.8607496,20,-261.7886091,209.5024478,641.1763902,55.176,-18.83371288,-0.3864
2,60,1.211,1.1,0.9942,716.6989858,20,-809.0717511,-15.36465655,1135.470072,55.176,-58.2066008,-0.7145
2,60,1.322,1.2,0.1988,75.84387338,20,155.3458173,187.5128866,24.04079943,55.176,11.17595808,1.7186
2,60,1.322,1.2,0.3977,185.4339739,20,217.6899483,332.7896404,117.5365435,55.176,15.66114736,1.1556
2,60,1.322,1.2,0.5965,328.7725832,20,141.9569478,400.1718349,312.5570157,55.176,10.21273006,0.3756
2,60,1.322,1.2,0.7953,505.8607496,20,-119.0669019,362.7117901,641.1763902,55.176,-8.56596417,-0.1731
2,60,1.322,1.2,0.9942,716.6989858,20,-632.2066712,174.1540683,1135.470072,55.176,-45.48249433,-0.5521
2,60,1.433,1.3,0.1988,75.84387338,20,188.8194521,223.4376029,24.04079943,55.176,13.58413324,2.0347
2,60,1.433,1.3,0.3977,185.4339739,20,284.276695,404.3837877,117.5365435,55.176,20.45156079,1.4717
2,60,1.433,1.3,0.5965,328.7725832,20,240.9490553,506.6053351,312.5570157,55.176,17.33446441,0.6257
2,60,1.433,1.3,0.7953,505.8607496,20,11.71720833,503.2057855,641.1763902,55.176,0.84296463,0.0168
2,60,1.433,1.3,0.9942,716.6989858,20,-470.1247547,347.9187909,1135.470072,55.176,-33.8219248,-0.4064
2,60,1.544,1.4,0.1988,75.84387338,20,219.7091966,256.7539759,24.04079943,55.176,15.80641702,2.3122
2,60,1.544,1.4,0.3977,185.4339739,20,345.7246344,470.6943971,117.5365435,55.176,24.87227586,1.7498
2,60,1.544,1.4,0.5965,328.7725832,20,332.3753312,605.2190877,312.5570157,55.176,23.91189433,0.8487
2,60,1.544,1.4,0.7953,505.8607496,20,132.5814665,633.4252737,641.1763902,55.176,9.538235,0.1878
2,60,1.544,1.4,0.9942,716.6989858,20,-320.3409626,508.9647303,1135.470072,55.176,-23.04611242,-0.2744
2,75,1.1,1,0.1988,57.85864196,20,74.81197799,101.1870101,14.69823767,68.97,5.38215669,0.8401
2,75,1.1,1,0.3977,137.2748556,20,71.1733927,158.1214485,69.73638786,68.97,5.12038796,0.4949
2,75,1.1,1,0.5965,238.2497826,20,-48.53819292,141.171574,181.5338988,68.97,-3.49195633,-0.1965
2,75,1.1,1,0.7953,360.7840352,20,-325.8518137,22.106148,366.512462,68.97,-23.44257652,-0.7908
2,75,1.1,1,0.9942,504.8779456,20,-821.5267803,-246.432699,641.094512,68.97,-59.10264606,-1.262
2,75,1.211,1.1,0.1988,57.85864196,20,111.2961844,140.0827015,14.69823767,68.97,8.00691974,1.214
2,75,1.211,1.1,0.3977,137.2748556,20,143.8631148,235.8888484,69.73638786,68.97,10.34986437,0.9652
2,75,1.211,1.1,0.5965,238.2497826,20,59.55463198,256.9071958,181.5338988,68.97,4.2845059,0.2337
2,75,1.211,1.1,0.7953,360.7840352,20,-183.0174207,174.9941005,366.512462,68.97,-13.16672091,-0.4334
2,75,1.211,1.1,0.9942,504.8779456,20,-644.3396606,-57.02494298,641.094512,68.97,-46.35537127,-0.9708
2,75,1.322,1.2,0.1988,57.85864196,20,144.1712256,175.1143711,14.69823767,68.97,10.37203062,1.5331
2,75,1.322,1.2,0.3977,137.2748556,20,209.1967179,305.7931505,69.73638786,68.97,15.05012359,1.3606
2,75,1.322,1.2,0.5965,238.2497826,20,156.644687,360.8819637,181.5338988,68.97,11.26940194,0.5984
2,75,1.322,1.2,0.7953,360.7840352,20,-54.73501197,312.3278242,366.512462,68.97,-3.93777065,-0.1268
2,75,1.322,1.2,0.9942,504.8779456,20,-485.240463,113.040032,641.094512,68.97,-34.90938583,-0.7187
2,75,1.433,1.3,0.1988,57.85864196,20,173.8048074,206.8141656,14.69823767,68.97,12.50394298,1.8072
2,75,1.433,1.3,0.3977,137.2748556,20,268.0779323,368.9734043,69.73638786,68.97,19.28618218,1.6968
2,75,1.433,1.3,0.5965,238.2497826,20,244.197746,454.867699,181.5338988,68.97,17.56818316,0.9109
2,75,1.433,1.3,0.7953,360.7840352,20,61.02617646,436.5172928,366.512462,68.97,4.39037241,0.1387
2,75,1.433,1.3,0.9942,504.8779456,20,-341.633065,266.8511146,641.094512,68.97,-24.57791835,-0.4984
2,75,1.544,1.4,0.1988,57.85864196,20,200.9148934,235.9834721,14.69823767,68.97,14.45430887,2.0476
2,75,1.544,1.4,0.3977,137.2748556,20,321.9532459,427.0353787,69.73638786,68.97,23.16210402,1.989
2,75,1.544,1.4,0.5965,238.2497826,20,324.3814866,541.2599679,181.5338988,68.97,23.3367976,1.1846
2,75,1.544,1.4,0.7953,360.7840352,20,167.1211002,550.704891,366.512462,68.97,12.02310073,0.3735
2,75,1.544,1.4,0.9942,504.8779456,20,-210.0089351,408.2553536,641.094512,68.97,-15.10855648,-0.3022
2,90,1.1,1,0.1988,46.60756414,20,65.34809473,92.62578458,9.75718269,83.27488889,4.70130178,0.6686
2,90,1.1,1,0.3977,108.0743834,20,60.9321664,137.4969156,45.24536321,83.27488889,4.38360909,0.4585
2,90,1.1,1,0.5965,184.4010767,20,-46.11179473,111.1273331,115.7915747,83.27488889,-3.3173953,-0.2356
2,90,1.1,1,0.7953,275.5880181,20,-292.9477904,-14.30195602,230.7240738,83.27488889,-21.07538061,-1.0001
2,90,1.1,1,0.9942,381.6354291,20,-735.3886528,-285.339165,399.3715794,83.27488889,-52.90565847,-1.7112
2,90,1.211,1.1,0.1988,46.60756414,20,97.61343292,126.9011018,9.75718269,83.27488889,7.02254913,0.9756
2,90,1.211,1.1,0.3977,108.0743834,20,125.1945026,206.0876936,45.24536321,83.27488889,9.00679875,0.9103
2,90,1.211,1.1,0.5965,184.4010767,20,49.56036048,213.3518886,115.7915747,83.27488889,3.56549356,0.2446
2,90,1.211,1.1,0.7953,275.5880181,20,-166.3392634,120.9453517,230.7240738,83.27488889,-11.96685348,-0.5507
2,90,1.211,1.1,0.9942,381.6354291,20,-578.1257114,-117.5462725,399.3715794,83.27488889,-41.5917778,-1.3108
2,90,1.322,1.2,0.1988,46.60756414,20,126.4015304,157.4999265,9.75718269,83.27488889,9.09363528,1.2377
2,90,1.322,1.2,0.3977,108.0743834,20,182.3937289,267.1906371,45.24536321,83.27488889,13.121851,1.2877
2,90,1.322,1.2,0.5965,184.4010767,20,134.6304999,304.3346708,115.7915747,83.27488889,9.68564748,0.6449
2,90,1.322,1.2,0.7953,275.5880181,20,-53.80036486,241.287239,230.7240738,83.27488889,-3.87052985,-0.1735
2,90,1.322,1.2,0.9942,381.6354291,20,-438.3909685,31.67390707,399.3715794,83.27488889,-31.5389186,-0.9718
2,90,1.433,1.3,0.1988,46.60756414,20,152.1392012,185.0017413,9.75718269,83.27488889,10.94526627,1.4632
2,90,1.433,1.3,0.3977,108.0743834,20,233.5357719,322.0146083,45.24536321,83.27488889,16.80113467,1.607
2,90,1.433,1.3,0.5965,184.4010767,20,210.7494438,385.976103,115.7915747,83.27488889,15.16183049,0.9838
2,90,1.433,1.3,0.7953,275.5880181,20,46.97218921,349.2987482,230.7240738,83.27488889,3.37929419,0.148
2,90,1.433,1.3,0.9942,381.6354291,20,-313.2280472,165.6259718,399.3715794,83.27488889,-22.53439188,-0.6808
2,90,1.544,1.4,0.1988,46.60756414,20,175.5617839,210.1795774,9.75718269,83.27488889,12.63034416,1.6615
2,90,1.544,1.4,0.3977,108.0743834,20,280.1069972,372.1904024,45.24536321,83.27488889,20.15158253,1.8841
2,90,1.544,1.4,0.5965,184.4010767,20,280.14202,460.7205553,115.7915747,83.27488889,20.15410216,1.2779
2,90,1.544,1.4,0.7953,275.5880181,20,138.9163752,448.2294973,230.7240738,83.27488889,9.99398382,0.4288
2,90,1.544,1.4,0.9942,381.6354291,20,-199.0090721,288.2736367,399.3715794,83.27488889,-14.31719943,-0.4249
4,60,1.1,1,0.1988,185.5656721,20,103.7109863,207.3713284,117.6812404,55.176,7.46122203,0.5752
4,60,1.1,1,0.3977,506.09876,20,-129.8857741,320.2962962,641.6747964,55.176,-9.3443003,-0.1889
4,60,1.1,1,0.5965,961.6221152,20,-829.9330035,359.4046977,1828.539692,55.176,-59.70741032,-0.455
4,60,1.1,1,0.7953,1552.143004,20,-2145.809244,332.2402467,3934.875502,55.176,-154.3747657,-0.5594
4,60,1.1,1,0.9942,2277.664197,20,-4269.613289,205.7335312,7217.288923,55.176,-307.1664236,-0.613
4,60,1.211,1.1,0.1988,185.5656721,20,181.6483384,291.502489,117.6812404,55.176,13.06822578,0.977
4,60,1.211,1.1,0.3977,506.09876,20,25.70892621,488.0587033,641.6747964,55.176,1.84956304,0.0368
4,60,1.211,1.1,0.5965,961.6221152,20,-598.1777149,608.9191961,1828.539692,55.176,-43.03436798,-0.325
4,60,1.211,1.1,0.7953,1552.143004,20,-1839.404396,661.4985385,3934.875502,55.176,-132.3312515,-0.4768
4,60,1.211,1.1,0.9942,2277.664197,20,-3890.410838,612.1662439,7217.288923,55.176,-279.8856718,-0.5564
4,60,1.322,1.2,0.1988,185.5656721,20,253.8754519,369.3196118,117.6812404,55.176,18.264421,1.3283
4,60,1.322,1.2,0.3977,506.09876,20,169.223213,642.6002641,641.6747964,55.176,12.17433187,0.2387
4,60,1.322,1.2,0.5965,961.6221152,20,-384.9814614,838.2778249,1828.539692,55.176,-27.69650801,-0.2074
4,60,1.322,1.2,0.7953,1552.143004,20,-1557.968378,963.835146,3934.875502,55.176,-112.084056,-0.4017
4,60,1.322,1.2,0.9942,2277.664197,20,-3542.28291,985.2314977,7217.288923,55.176,-254.8404971,-0.5048
4,60,1.433,1.3,0.1988,185.5656721,20,320.1373403,440.8046832,117.6812404,55.176,23.03146333,1.6343
4,60,1.433,1.3,0.3977,506.09876,20,300.7654056,784.3911953,641.6747964,55.176,21.63779896,0.4186
4,60,1.433,1.3,0.5965,961.6221152,20,-189.5278064,1048.747825,1828.539692,55.176,-13.63509399,-0.1013
