Hmax[T]	f[Hz]	F_R[%]	F_M_High[%]	F_B[%]	U_HB[-]	dPCB[kPa]	Tspan[K]	dT_reg[K]	Qc[W]	Qh[W]	Wpump[W]	Wvalv[W]	Wmotor[W]	COP[-]	Q_wall-Loss[W]
1.3	1	10	40	70	0.3977	62.83074925	20	21.03590824	171.2713307	227.3218334	5.98072117	64.372	12.32167847	2.0716	483.2692478
1.3	1	10	40	70	0.5965	103.5320462	20	20.87923151	208.5412087	299.0227931	14.78194541	64.372	15.00296465	2.2148	440.8786716
1.3	1	10	40	70	0.7953	150.4240559	20	20.6447399	181.5259464	314.9674367	28.63526263	64.372	13.0594206	1.7114	332.0634994
1.3	1	10	40	70	0.9942	203.5068215	20	20.31617425	58.39339214	246.4482233	48.42436281	64.372	4.20096346	0.4991	174.7044429
1.3	1	10	40	80	0.1988	24.39846294	20	21.14803778	94.13116143	126.7228095	1.15433144	73.82344444	6.772026	1.1515	513.4907168
1.3	1	10	40	80	0.3977	53.49874446	20	21.05997751	173.5899981	234.5680993	5.06201469	73.82344444	12.48848907	1.8998	584.6560602
1.3	1	10	40	80	0.5965	87.30090521	20	20.91380944	218.1044165	310.2994519	12.39015	73.82344444	15.69096521	2.1403	531.5746013
1.3	1	10	40	80	0.7953	125.8049878	20	20.6952588	203.5993329	333.5613646	23.80588757	73.82344444	14.64743402	1.8134	413.3754416
1.3	1	10	40	80	0.9942	169.0110217	20	20.38532407	98.76938264	275.7332821	39.97640268	73.82344444	7.10571098	0.8169	250.9279681
1.3	1	10	40	90	0.1988	21.43965555	20	21.1495877	89.72496336	131.4219278	1.01589831	83.27488889	6.45503334	0.9888	731.9923984
1.3	1	10	40	90	0.3977	46.59437996	20	21.05162592	167.4760888	237.2965849	4.41550833	83.27488889	12.04863948	1.6791	841.8641987
1.3	1	10	40	90	0.5965	75.46421315	20	20.91076512	213.6526145	312.6772165	10.72674852	83.27488889	15.37069169	1.9534	808.6971409
1.3	1	10	40	90	0.7953	108.0491844	20	20.70346505	204.8633063	338.3008974	20.47757337	83.27488889	14.73836736	1.7289	714.2701605
1.3	1	10	40	90	0.9942	144.349315	20	20.40816538	110.4806124	285.9816728	34.19595654	83.27488889	7.9482455	0.8809	583.2475655
1.3	1	10	40	100	0.1988	19.02445271	20	21.13010185	72.92345948	145.2928373	0.91287081	91.96	5.24629205	0.7432	1739.689558
1.3	1	10	40	100	0.3977	41.05816915	20	20.99499088	143.7483059	240.3474323	3.940043	91.96	10.34160474	1.353	1750.031848
1.3	1	10	40	100	0.5965	66.10116666	20	20.85041543	185.4691119	306.9567826	9.51441171	91.96	13.34310158	1.6153	1646.242328
1.3	1	10	40	100	0.7953	94.15347069	20	20.64865428	174.3044281	326.6636317	18.06892077	91.96	12.53988691	1.4221	1547.479242
1.3	1	10	40	100	0.9942	125.2151056	20	20.36299299	79.7652665	271.1324245	30.03654309	91.96	5.73850838	0.6245	1469.90728
1.3	1	15	35	60	0.1988	33.68866204	20	21.09013239	94.2847263	115.128073	1.60137866	55.176	6.78307383	1.4834	321.0794994
1.3	1	15	35	60	0.3977	75.81455404	20	21.00486793	167.1629798	218.9657432	7.20717236	55.176	12.02611365	2.2465	365.4344758
1.3	1	15	35	60	0.5965	126.3778425	20	20.83279153	194.9601462	285.1812312	18.02003471	55.176	14.0259098	2.2352	314.1581384
1.3	1	15	35	60	0.7953	185.37863	20	20.57773761	152.1216252	292.2789113	35.24272743	55.176	10.94400182	1.5008	199.3647713
1.3	1	15	35	60	0.9942	252.8169804	20	20.22579209	6.16615908	211.5497937	60.07805814	55.176	0.44360857	0.0533	36.5987129
1.3	1	15	35	70	0.1988	28.32010001	20	21.11692544	94.52952136	120.3333492	1.34793378	64.372	6.80068499	1.3035	398.7942417
1.3	1	15	35	70	0.3977	62.83074925	20	21.03397932	171.3476184	226.5015097	5.98072117	64.372	12.32716679	2.0724	459.4046085
1.3	1	15	35	70	0.5965	103.5320462	20	20.87771603	208.6310358	298.0563604	14.78194541	64.372	15.00942704	2.2156	412.2189577
1.3	1	15	35	70	0.7953	150.4240559	20	20.64342257	181.6111189	313.8665094	28.63526263	64.372	13.06554812	1.7121	299.3640097
1.3	1	15	35	70	0.9942	203.5068215	20	20.31495888	58.46129017	245.2091071	48.42436281	64.372	4.20584821	0.4997	138.0632985
1.3	1	15	35	80	0.1988	24.39846294	20	21.12250239	92.08988287	123.5964336	1.15433144	73.82344444	6.62517143	1.1285	490.6730659
1.3	1	15	35	80	0.3977	53.49874446	20	21.03484242	169.2707182	228.6736897	5.06201469	73.82344444	12.17774951	1.8588	552.0687016
1.3	1	15	35	80	0.5965	87.30090521	20	20.88761389	211.1169899	301.3274436	12.39015	73.82344444	15.18827266	2.082	491.6934089
