f[Hz]	H_max[T]	H_min[T]	F[%]	U_HB[-]	dPCB[kPa]	Tspan [K]	Qc[W]	Qh[W]	Wpump[W]	Wvalv[W]	Wmotor[W]	COP[-]
1	1.3	0.1	100	0.7953	94.1535	20.0000	282.7056	404.0177	36.1378	91.9600	20.3385	1.9046
1	1.3	0.1	100	0.9942	125.2151	20.0000	242.2526	407.4682	60.0731	91.9600	17.4282	1.4295
1	1.4	0.05	90	0.1988	21.4397	20.0000	118.5046	147.0288	2.2437	83.2749	8.5255	1.2601
1	1.4	0.05	90	0.3977	46.5944	20.0000	227.5878	284.6039	9.7520	83.2749	16.3732	2.0803
1	1.4	0.05	90	0.5965	75.4642	20.0000	313.6184	404.6947	23.6910	83.2749	22.5625	2.4212
1	1.4	0.05	90	0.7953	108.0492	20.0000	357.5200	489.7343	45.2265	83.2749	25.7209	2.3182
1	1.4	0.05	90	0.9942	144.3493	20.0000	329.2998	511.1732	75.5248	83.2749	23.6906	1.8045
1	1.4	0.05	100	0.1988	19.0245	20.0000	117.0514	149.5039	1.8257	91.9600	8.4210	1.1452
1	1.4	0.05	100	0.3977	41.0582	20.0000	226.2204	286.8570	7.8801	91.9600	16.2749	1.9482
1	1.4	0.05	100	0.5965	66.1012	20.0000	314.9708	408.6174	19.0288	91.9600	22.6598	2.3567
1	1.4	0.05	100	0.7953	94.1535	20.0000	365.3592	498.1647	36.1378	91.9600	26.2848	2.3666
1	1.4	0.05	100	0.9942	125.2151	20.0000	348.5942	527.9487	60.0731	91.9600	25.0787	1.9682
1	1.4	0.1	90	0.1988	21.4397	20.0000	117.0360	144.5886	2.2437	83.2749	8.4199	1.2459
1	1.4	0.1	90	0.3977	46.5944	20.0000	224.0156	279.3511	9.7520	83.2749	16.1162	2.0525
1	1.4	0.1	90	0.5965	75.4642	20.0000	306.9285	395.5546	23.6910	83.2749	22.0812	2.3784
1	1.4	0.1	90	0.7953	108.0492	20.0000	346.6089	475.5434	45.2265	83.2749	24.9359	2.2590
1	1.4	0.1	90	0.9942	144.3493	20.0000	313.3727	491.0561	75.5248	83.2749	22.5448	1.7281
1	1.4	0.1	100	0.1988	19.0245	20.0000	115.6115	147.0884	1.8257	91.9600	8.3174	1.1323
1	1.4	0.1	100	0.3977	41.0582	20.0000	222.7612	281.7052	7.8801	91.9600	16.0260	1.9226
1	1.4	0.1	100	0.5965	66.1012	20.0000	308.5354	399.7127	19.0288	91.9600	22.1968	2.3166
1	1.4	0.1	100	0.7953	94.1535	20.0000	354.8465	484.3399	36.1378	91.9600	25.5285	2.3098
1	1.4	0.1	100	0.9942	125.2151	20.0000	333.1342	508.2566	60.0731	91.9600	23.9665	1.8928
2	1	0.05	90	0.1988	46.6076	20.0000	81.4472	122.6887	9.7572	83.2749	5.8595	0.8236
2	1	0.05	90	0.3977	108.0744	20.0000	113.7984	212.2446	45.2454	83.2749	8.1869	0.8324
2	1	0.05	90	0.5965	184.4011	20.0000	59.5042	246.4555	115.7916	83.2749	4.2809	0.2926
2	1	0.05	90	0.7953	275.5880	20.0000	-125.6508	190.7331	230.7241	83.2749	-9.0396	-0.4120
2	1	0.05	90	0.9942	381.6354	20.0000	-505.2861	-8.9657	399.3716	83.2749	-36.3515	-1.1322
2	1	0.05	100	0.1988	41.0801	20.0000	80.6635	125.0978	7.8880	91.9600	5.8031	0.7635
2	1	0.05	100	0.3977	94.1959	20.0000	118.0611	216.2440	36.1671	91.9600	8.4936	0.8642
2	1	0.05	100	0.5965	159.3477	20.0000	76.9290	255.7784	91.7625	91.9600	5.5345	0.4065
2	1	0.05	100	0.7953	236.5361	20.0000	-85.0235	209.3774	181.6010	91.9600	-6.1168	-0.3179
2	1	0.05	100	0.9942	325.7613	20.0000	-429.3981	23.4696	312.6103	91.9600	-30.8919	-1.1491
2	1	0.1	90	0.1988	46.6076	20.0000	78.4228	118.1886	9.7572	83.2749	5.6419	0.7948
2	1	0.1	90	0.3977	108.0744	20.0000	105.6493	201.4995	45.2454	83.2749	7.6007	0.7761
2	1	0.1	90	0.5965	184.4011	20.0000	44.2053	227.3818	115.7916	83.2749	3.1802	0.2186
2	1	0.1	90	0.7953	275.5880	20.0000	-149.5244	161.8176	230.7241	83.2749	-10.7571	-0.4931
2	1	0.1	90	0.9942	381.6354	20.0000	-538.2637	-48.3622	399.3716	83.2749	-38.7240	-1.2125
2	1	0.1	100	0.1988	41.0801	20.0000	77.7464	120.7031	7.8880	91.9600	5.5933	0.7373
2	1	0.1	100	0.3977	94.1959	20.0000	110.2645	205.8416	36.1671	91.9600	7.9327	0.8104
2	1	0.1	100	0.5965	159.3477	20.0000	62.2697	237.2908	91.7625	91.9600	4.4798	0.3309
2	1	0.1	100	0.7953	236.5361	20.0000	-108.0581	181.2664	181.6010	91.9600	-7.7740	-0.4066
2	1	0.1	100	0.9942	325.7613	20.0000	-461.4664	-15.0704	312.6103	91.9600	-33.1990	-1.2426
2	1.1	0.05	90	0.1988	46.6076	20.0000	121.0767	167.6060	9.7572	83.2749	8.7106	1.1900
2	1.1	0.05	90	0.3977	108.0744	20.0000	195.6848	303.4632	45.2454	83.2749	14.0780	1.3723
2	1.1	0.05	90	0.5965	184.4011	20.0000	185.0050	385.1874	115.7916	83.2749	13.3097	0.8711
2	1.1	0.05	90	0.7953	275.5880	20.0000	43.8777	377.1811	230.7241	83.2749	3.1567	0.1383
2	1.1	0.05	90	0.9942	381.6354	20.0000	-291.9648	224.8335	399.3716	83.2749	-21.0047	-0.6324
2	1.1	0.05	100	0.1988	41.0801	20.0000	119.4235	169.1564	7.8880	91.9600	8.5916	1.1013
2	1.1	0.05	100	0.3977	94.1959	20.0000	198.3449	305.9315	36.1671	91.9600	14.2694	1.3929
2	1.1	0.05	100	0.5965	159.3477	20.0000	200.2967	392.5172	91.7625	91.9600	14.4098	1.0109
2	1.1	0.05	100	0.7953	236.5361	20.0000	82.0376	393.6313	181.6010	91.9600	5.9020	0.2936
2	1.1	0.05	100	0.9942	325.7613	20.0000	-218.6866	255.0684	312.6103	91.9600	-15.7328	-0.5624
2	1.1	0.1	90	0.1988	46.6076	20.0000	118.0027	162.9876	9.7572	83.2749	8.4894	1.1623
2	1.1	0.1	90	0.3977	108.0744	20.0000	187.4422	292.5041	45.2454	83.2749	13.4850	1.3200
2	1.1	0.1	90	0.5965	184.4011	20.0000	169.5003	365.6999	115.7916	83.2749	12.1943	0.8023
2	1.1	0.1	90	0.7953	275.5880	20.0000	19.5974	347.6179	230.7241	83.2749	1.4099	0.0621
2	1.1	0.1	90	0.9942	381.6354	20.0000	-325.6097	184.4573	399.3716	83.2749	-23.4252	-0.7090
2	1.1	0.1	100	0.1988	41.0801	20.0000	116.4557	164.6438	7.8880	91.9600	8.3781	1.0760
2	1.1	0.1	100	0.3977	94.1959	20.0000	190.4575	295.3166	36.1671	91.9600	13.7020	1.3429
2	1.1	0.1	100	0.5965	159.3477	20.0000	185.4318	373.6697	91.7625	91.9600	13.3404	0.9410
2	1.1	0.1	100	0.7953	236.5361	20.0000	58.6190	364.8920	181.6010	91.9600	4.2172	0.2110
2	1.1	0.1	100	0.9942	325.7613	20.0000	-251.3947	215.5645	312.6103	91.9600	-18.0859	-0.6505
2	1.2	0.05	90	0.1988	46.6076	20.0000	159.5874	211.3382	9.7572	83.2749	11.4811	1.5270
2	1.2	0.05	90	0.3977	108.0744	20.0000	274.7393	391.6099	45.2454	83.2749	19.7654	1.8528
2	1.2	0.05	90	0.5965	184.4011	20.0000	305.5669	518.5670	115.7916	83.2749	21.9832	1.3823
2	1.2	0.05	90	0.7953	275.5880	20.0000	206.0816	555.7861	230.7241	83.2749	14.8260	0.6267
2	1.2	0.05	90	0.9942	381.6354	20.0000	-88.5073	448.1320	399.3716	83.2749	-6.3674	-0.1858
2	1.2	0.05	100	0.1988	41.0801	20.0000	157.1098	212.0715	7.8880	91.9600	11.3029	1.4135
2	1.2	0.05	100	0.3977	94.1959	20.0000	275.9117	392.6542	36.1671	91.9600	19.8498	1.8646
2	1.2	0.05	100	0.5965	159.3477	20.0000	318.9045	524.0832	91.7625	91.9600	22.9428	1.5431
2	1.2	0.05	100	0.7953	236.5361	20.0000	242.0096	570.2553	181.6010	91.9600	17.4108	0.8317
2	1.2	0.05	100	0.9942	325.7613	20.0000	-17.5685	476.3942	312.6103	91.9600	-1.2639	-0.0436
2	1.2	0.1	90	0.1988	46.6076	20.0000	156.4649	206.6143	9.7572	83.2749	11.2565	1.5003
2	1.2	0.1	90	0.3977	108.0744	20.0000	266.4066	380.4541	45.2454	83.2749	19.1659	1.8039
2	1.2	0.1	90	0.5965	184.4011	20.0000	289.8643	498.7474	115.7916	83.2749	20.8535	1.3180
2	1.2	0.1	90	0.7953	275.5880	20.0000	181.4491	525.6528	230.7241	83.2749	13.0539	0.5548
2	1.2	0.1	90	0.9942	381.6354	20.0000	-122.7091	406.9116	399.3716	83.2749	-8.8280	-0.2590
2	1.2	0.1	100	0.1988	41.0801	20.0000	154.0927	207.4512	7.8880	91.9600	11.0858	1.3891
2	1.2	0.1	100	0.3977	94.1959	20.0000	267.9362	381.8439	36.1671	91.9600	19.2760	1.8177
2	1.2	0.1	100	0.5965	159.3477	20.0000	303.8576	504.8905	91.7625	91.9600	21.8603	1.4780
2	1.2	0.1	100	0.7953	236.5361	20.0000	218.2572	540.9550	181.6010	91.9600	15.7020	0.7545
2	1.2	0.1	100	0.9942	325.7613	20.0000	-50.8194	436.0617	312.6103	91.9600	-3.6561	-0.1268
