f[Hz]	Hmax[T]	MagPeriod [s]	FieldPeriod[s]	F[%]	Test	Re_w[-]	ReDp_CB[-]	ReDp_HB[-]	U_CB[-]	U_HB[-]	dPCB[kPa]	dPHB[kPa]	Tspan [K]	dT_reg[K]	Qc[W]	Qh[W]	Wpump[W]	Wvalv[W]	Wmotor[W]	COP[-]	Q_wall-Loss[W]
1	1.2	20	30	90	Test2	0.0585	4.6746	4.6746	0.2982	0.2982	46.97060258	-46.97060258	35	36.01299674	95.15621255	102.4772044	4.510729242	23.04	12.3122641	2.387081465	-499.6768272
1	1.2	20	30	90	Test3	0.0585	6.2329	6.2329	0.3977	0.3977	64.2571743	-64.2571743	35	35.86677528	108.1498626	117.3435268	8.227803582	23.04	13.99351271	2.389454647	-863.1511286
1	1.2	20	30	90	Test4	0.0585	7.7911	7.7911	0.4971	0.4971	82.35859969	-82.35859969	35	35.66255751	103.1908321	112.2910494	13.18208017	23.04	13.35186368	2.081553819	-1419.452306
1	1.2	25	25	60	Test1	0.0585	4.6746	4.6746	0.1988	0.1988	47.14440224	-47.14440224	35	36.08316073	75.66212652	65.54664141	3.046043856	20.16	9.78992395	2.293071898	-206.7097214
1	1.2	25	25	60	Test2	0.0585	7.012	7.012	0.2982	0.2982	73.49251965	-73.49251965	35	36.03717048	103.2681207	99.62131193	7.122737142	20.16	13.36186404	2.540758616	-424.2382837
1	1.2	25	25	60	Test1	0.0585	9.3493	9.3493	0.3977	0.3977	101.6912543	-101.6912543	35	35.88622307	114.3641253	116.8042731	13.14110412	20.16	14.79757629	2.377697774	-762.2501212
1	1.2	25	25	60	Test2	0.0585	11.6866	11.6866	0.4971	0.4971	131.74061	-131.74061	35	35.66728281	104.9747015	112.5910691	21.28055888	20.16	13.58267856	1.907824881	-1301.490873
1	1.2	25	25	70	Test1	0.0585	4.0068	4.0068	0.1988	0.1988	39.90197305	-39.90197305	35	36.07907272	73.55156743	67.34118353	2.5816217	21.12	9.51683867	2.214177497	-233.1597374
1	1.2	25	25	70	Test2	0.0585	6.0103	6.0103	0.2982	0.2982	61.88969346	-61.88969346	35	36.02918404	101.3678423	100.2471117	6.006380394	21.12	13.11598699	2.518933375	-462.2928319
1	1.2	25	25	70	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.88304708	113.8142901	116.8395356	11.02952762	21.12	14.7264331	2.427988426	-818.0389161
