f[Hz],H[mm],H_max[T],U_HB[-],dPCB[kPa],Tspan[K],Qc[W],Qh[W],Wpump[W],Wvalv[W],Wmotor[W],COP[-]
1,30,1.1,0.3977,41.05816915,20,212.3800947,285.5330326,11.82012901,91.96,15.2791435,1.7838
1,30,1.1,0.5965,66.10116666,20,277.2189337,392.6662577,28.54323514,91.96,19.94380818,1.9738
1,30,1.1,0.7953,94.15347069,20,281.6974887,448.9000577,54.2067623,91.96,20.26600638,1.6926
1,30,1.1,0.9942,125.2151056,20,183.7131197,414.1160134,90.10962927,91.96,13.2167712,0.9407
1,30,1.2,0.1988,19.02445271,20,141.3482742,183.715247,2.73861244,91.96,10.16894059,1.3479
1,30,1.2,0.3977,41.05816915,20,268.92236,349.1516842,11.82012901,91.96,19.34693238,2.1841
1,30,1.2,0.5965,66.10116666,20,363.5437112,489.0138116,28.54323514,91.96,26.15422383,2.4789
1,30,1.2,0.7953,94.15347069,20,398.3650634,578.4590921,54.2067623,91.96,28.65935708,2.2786
1,30,1.2,0.9942,125.2151056,20,330.9183436,576.992796,90.10962927,91.96,23.80707508,1.6074
1,30,1.3,0.1988,19.02445271,20,167.7811535,214.2352207,2.73861244,91.96,12.07058658,1.5714
1,30,1.3,0.3977,41.05816915,20,322.7904449,410.0253845,11.82012901,91.96,23.22233416,2.5416
1,30,1.3,0.5965,66.10116666,20,445.7063072,581.0371457,28.54323514,91.96,32.06520196,2.9214
1,30,1.3,0.7953,94.15347069,20,509.3626618,702.1036984,54.2067623,91.96,36.64479581,2.7863
1,30,1.3,0.9942,125.2151056,20,470.9335057,732.3385398,90.10962927,91.96,33.88010832,2.1808
1,30,1.4,0.1988,19.02445271,20,193.1894635,243.7873127,2.73861244,91.96,13.89852255,1.779
1,30,1.4,0.3977,41.05816915,20,374.4945109,468.7409804,11.82012901,91.96,26.94205114,2.8648
1,30,1.4,0.5965,66.10116666,20,524.4935955,669.6459498,28.54323514,91.96,37.73335219,3.3146
1,30,1.4,0.7953,94.15347069,20,615.7672637,821.0618875,54.2067623,91.96,44.29980314,3.2329
1,30,1.4,0.9942,125.2151056,20,605.1516982,881.736413,90.10962927,91.96,43.53609339,2.6823
2,10,0.9,0.1988,41.08011652,20,6.81817098,24.23493593,3.94398668,91.96,0.4905159,0.0707
2,10,0.9,0.3977,94.19589525,20,-12.47545078,27.95165814,18.08354785,91.96,-0.89751444,-0.1143
2,10,0.9,0.5965,159.3477262,20,-73.61784559,3.42488454,45.8812524,91.96,-5.29624788,-0.5554
2,10,0.9,0.7953,236.53609,20,-196.5227228,-65.20451146,90.80051346,91.96,-14.13832538,-1.1655
2,10,0.9,0.9942,325.7613467,20,-411.0947774,-203.8502941,156.3051322,91.96,-29.57516384,-1.8798
2,10,1,0.1988,41.08011652,20,20.15197647,40.60341508,3.94398668,91.96,1.44978248,0.207
2,10,1,0.3977,94.19589525,20,18.06337228,63.75194488,18.08354785,91.96,1.29952319,0.1622
2,10,1,0.5965,159.3477262,20,-23.04292076,61.34536088,45.8812524,91.96,-1.65776408,-0.1692
2,10,1,0.7953,236.53609,20,-123.8680311,16.66712961,90.80051346,91.96,-8.91136914,-0.7125
2,10,1,0.9942,325.7613467,20,-315.2294294,-97.10884501,156.3051322,91.96,-22.67837622,-1.3974
